Metadata_profile_id	Metadata_pert_name	Metadata_cell_line	cc_all_high_h2ax	cc_all_large_notround_polynuclear_mean	cc_all_large_round_polyploid_mean	cc_all_n_objects	cc_all_n_spots_h2ax_mean	cc_all_n_spots_h2ax_per_nucleus_area_mean	cc_all_nucleus_area_mean	cc_all_nucleus_roundness_mean	cc_cc_early_mitosis	cc_cc_g1	cc_cc_g2	cc_cc_high_h2ax	cc_cc_late_mitosis	cc_cc_mitosis	cc_cc_n_objects	cc_cc_n_spots_h2ax_mean	cc_cc_n_spots_h2ax_per_nucleus_area_mean	cc_cc_s	cc_early_mitosis_high_h2ax	cc_early_mitosis_n_objects	cc_early_mitosis_n_spots_h2ax_mean	cc_early_mitosis_n_spots_h2ax_per_nucleus_area_mean	cc_g1_high_h2ax	cc_g1_n_objects	cc_g1_n_spots_h2ax_mean	cc_g1_n_spots_h2ax_per_nucleus_area_mean	cc_g1_plus_g2_count	cc_g2_g1_count	cc_g2_high_h2ax	cc_g2_n_objects	cc_g2_n_spots_h2ax_mean	cc_g2_n_spots_h2ax_per_nucleus_area_mean	cc_g2_plus_all_m_count	cc_infection_percentage	cc_late_mitosis_high_h2ax	cc_late_mitosis_n_objects	cc_late_mitosis_n_spots_h2ax_mean	cc_late_mitosis_n_spots_h2ax_per_nucleus_area_mean	cc_mitosis_high_h2ax	cc_mitosis_n_objects	cc_mitosis_n_spots_h2ax_mean	cc_mitosis_n_spots_h2ax_per_nucleus_area_mean	cc_polynuclear_high_h2ax	cc_polynuclear_n_objects	cc_polynuclear_n_spots_h2ax_mean	cc_polynuclear_n_spots_h2ax_per_nucleus_area_mean	cc_polyploid_high_h2ax	cc_polyploid_n_objects	cc_polyploid_n_spots_h2ax_mean	cc_polyploid_n_spots_h2ax_per_nucleus_area_mean	cc_s_high_h2ax	cc_s_intensity_nucleus_area_mean	cc_s_intensity_nucleus_area_sum	cc_s_n_objects	cc_s_n_spots_h2ax_mean	cc_s_n_spots_h2ax_per_nucleus_area_mean	vb_infection_percentage	vb_live_cell_area	vb_live_cell_roundness	vb_live_cell_width_length	vb_num_live_cells	vb_percent_all_apoptosis	vb_percent_caspase_dead_only	vb_percent_dead	vb_percent_dead_only	vb_percent_early_apoptosis	vb_percent_late_apoptosis	vb_percent_live	vb_ros_back_mean	vb_ros_mean
profile_0	AKT1-1	A549	-0.005795125813307898	0.5803514889354191	0.013975144755177624	0.381957732749595	0.15069647378869544	0.16251084716307856	-0.16760318397861027	0.04032203607698398	0.37596575943573535	0.04391456827973563	-0.45752497864226405	-0.004686686629047913	0.5584563610804525	0.7845120357571949	0.4513538560079621	0.1531673423117837	0.16195944533832898	0.09164266526463302	0.45791243418938443	0.7449461372398292	0.7832513333743325	0.9132048682352498	-0.0706472782096739	0.4966004571162501	0.05859267146184108	0.014199943098420736	-0.24253947504685808	-0.35448479495199003	0.048267172681321274	-0.18032240276595793	0.15659471825764035	0.19704271821675917	-0.36238923017646774	-0.048178069691447875	0.0	1.4204814006082527	0.30160578537691357	0.2586496015237174	0.0	1.09944163491149	0.455587902179318	0.530234103471759	0.37545760123990424	0.686731565569192	-0.012814038765608604	-0.13593246831969014	-0.05410742306396715	0.24057385672770593	-0.12322833595136004	-0.14391080229290842	0.1206230715218237	0.04522927185279858	0.330828867457802	0.371933664057223	0.24924672081682797	0.23774933094245343	-0.048178069691447875	-0.4744603453583391	0.21213806176521208	0.26006808663555736	0.4383394557204521	0.05941434879951099	-0.06504962729788759	-0.02023640749554219	-0.007969698750285456	0.08242445433589943	0.0	0.02026312971173594	0.40821388303564876	0.6545745991803827
profile_1	AKT1-2	A549	0.05016944043594239	1.2777303555823805	0.24180834824507294	0.5774217668618251	0.22082854284252904	0.36698885255952274	-0.2780442764446919	-0.18257062851578354	0.7360463199185808	-1.023967630884344	0.002023458855190447	0.015576473122259241	0.7010664241850257	1.1409355461510622	0.6575010866648061	0.19559011773910706	0.3442094167340253	0.8934531361521114	0.9076480748690812	1.2050834327206184	0.7223334825481075	0.8724384048774686	-0.00780653196503432	0.26165522624014603	-0.018744553786375823	0.10522543527106606	-0.9622022542930464	0.17245095932270088	0.13218345732460585	0.8519811067932621	0.3174170064263098	0.46456990120420716	0.1551832433221616	-0.30398394903064274	0.0	1.804216264649078	0.6567773895971716	0.5569258881383721	0.0	1.546664120215601	1.6387216898307546	1.5935778270235779	-0.14754926026770546	1.4779766323083054	-0.3420355359693342	-0.3055545630162847	0.030060564853900573	0.8199872390164623	-0.2236898695601981	-0.2556001596360628	0.06076033731215515	0.27334945418040335	0.8308580705622933	0.9112864226564794	0.4302954043185062	0.4545733595495125	-0.30398394903064274	0.01811309492589768	-0.06339038092606436	0.016669596672903336	0.06756797630789214	0.2561411127262554	0.5750261055711876	0.22509126222449855	0.2204606323508807	0.13283381783381726	0.38632739328314936	-0.22496502161377882	0.2849615551388821	0.567898269557303
profile_2	ARID1B-1	A549	0.11859762771126775	1.1986848789269273	0.16514045394803245	0.33007077056329226	0.41772307087324495	0.5140651397880278	-0.3087487074855273	-0.17273501427428611	0.14816758950980896	-0.6065985726079113	0.1564492523241528	0.03839895818170058	0.14163308060698448	0.8825676039923324	0.40264281106279864	0.39015433592536775	0.49648408612530753	0.45501501275539386	0.0	0.47157511780406336	0.2974823430910762	0.4122202158980185	0.1676935342883708	0.19021521818754186	0.4087593600844711	0.5271082975010681	-0.4944028916361037	0.23739168379458517	-0.12188908569997386	0.9245260789639997	0.14266275641801954	0.3363923967821756	0.15146098585647239	0.0491116948920097	0.0	0.43054507379564516	0.7088738651445007	1.0088802034606905	0.0	1.1508814243100756	0.42885658424820383	0.4439890464803202	0.385788167132995	1.2216002739642686	0.25111225667909737	0.3142565455678555	1.6561547545337547	0.5454544692900087	1.1093245981143474	1.2397147582272021	0.049266070475890364	0.06354222976333848	0.3489857170934112	0.48671343822409563	0.4410754420576912	0.5094359246861653	0.0491116948920097	0.004673019603016429	0.042578466804854886	0.11104502317875223	0.10036454555161402	0.29922905666229105	0.5019413898394559	0.05551675472086927	0.04769690514782782	0.2495568137535864	0.28324566285382263	-0.055444670699063406	-0.36376644033978756	-0.20593734612391099
profile_3	ARID1B-2	A549	-0.07291948642936147	0.31707944893150886	-0.0892809311060285	0.1553051663689645	-0.3853155585764334	-0.30027901058681183	-0.12026128352338847	-0.2997179797361288	0.01223893130313139	-0.22149171942987414	0.1454334959377922	-0.06171441153040361	0.3641171981772421	0.09513629685927077	0.1375009093545056	-0.42834717784084486	-0.33859896839781745	0.1311948250864134	0.0	0.22300485749092475	-0.23903562936322464	0.689345262736526	0.06405411488806927	0.06695522784128155	-0.4186921641597371	-0.31529353535438737	-0.1482755996083531	0.16299484180318538	-0.1709575740429231	0.7167996089387211	-0.5534751832299781	-0.4261587516606877	0.022010816319331716	0.45169563068422597	0.0	0.7079810135654252	0.7823442297265837	0.6773473917792863	0.0	0.2492129028492787	-0.1823958000887876	-0.12440906204732158	-0.09926010131635592	0.3050649578784498	-0.5384891563033478	-0.26251636408248946	1.4543667052429898	-0.08874821648270453	1.7575147119969343	1.343289418075082	-0.046802236217112506	-0.25605004111518304	0.043234540208501204	0.13121654105549624	-0.31676233749173655	-0.3100349160506581	0.45169563068422597	-0.3017068371936801	0.060640607685043466	-0.015030563250521684	0.2838021536235319	0.14309578846402915	0.493882620859135	-0.08441475051079148	-0.08565836047337237	0.1367895172245528	0.11185505520267067	0.08443919803794102	0.19828547275758177	-0.16297647529169573
profile_4	ATF4-1	A549	4.2861787974867696	0.00746742567973363	3.284383121869437	-2.2467622209571796	3.0158805044289636	3.0657732603862513	2.854123667259549	1.2465075064754676	0.04909481793179783	0.9231869528581015	1.600066351003804	4.089040813332882	-0.2363042263050325	-0.0746262584130897	-2.653064925657662	2.829571357693681	2.924949376668263	-1.6231448457108977	0.0	-1.2393343729025206	0.1969079667969691	0.07207490061863148	4.717445000046138	-2.688243571441423	3.0627240634547355	3.5934668196243185	1.7091193111355119	1.0876776121037444	3.7297254673116287	-0.9697180544124608	2.4382198673374402	2.559883623740046	1.264328393908468	0.09362768534308831	0.0	-0.4800266829079496	0.0	0.0	0.0	-0.6375076171271309	-0.48855169383340963	-0.49777957338557427	2.7794987322238542	-0.4367103430307113	2.77663649805163	2.2633506431200923	2.1427196488779408	1.801983258461796	1.7747336523221997	1.891969982762963	1.5084447411395205	-1.6951791466067203	-2.1906038419223943	-2.3707255931547873	1.5037304655444763	1.6206151151252093	0.09362768534308831	2.273898848383172	-2.2915190308542437	-2.376061058342962	-2.434136468671019	0.3153808696355486	0.5092174344789334	0.1006679451766313	0.10485734929832316	0.33229063740030373	0.19287823280351984	-0.1005955007118455	-0.811270748822098	-0.09250514129771742
profile_5	ATF4-2	A549	0.20067250730449965	-0.31159146366460555	0.9482563888021882	-1.6729346883136975	0.5648628438322925	0.47430712211472525	0.6671501306031725	1.030120768784271	-1.1057778017048572	1.5032084027069716	0.3683409584192908	0.21197217227584103	-0.10499817618787513	-0.3221921101901208	-1.8784211103636728	0.5665820157533076	0.4710500247558671	-1.3724222924663425	0.0	-1.3619325754371632	-0.5247124687004144	-0.7459064392459028	0.26701455190729656	-1.689653416564105	0.7774207161702195	0.827655099845249	1.5523214216485706	0.0886276984475066	0.28769141340315235	-0.9695711140271456	0.21994585106559456	0.3468344618356708	0.009029139127234052	-0.14165804474505	0.0	-0.35959805239870957	0.0	0.0	0.0	-0.5326236501980793	-0.13262372353712637	0.014379839490255258	-0.19033779230637077	-0.4232385128487669	0.32481562607346204	0.33201839738723354	0.37725688187051964	0.7522782704235995	0.0067601139760085	-0.08752684855190257	0.05678953032969926	-2.2335970375859158	-1.8564535303656193	-1.81424964891667	-0.009616534338068992	-0.03523605870345929	-0.14165804474505	1.8578256622493439	-1.879404577553774	-2.030512902491766	-2.045893736431179	0.0	-0.06019512132362016	-0.0975461695925238	-0.08976891567951166	0.0	0.0	0.09753222434770153	-1.2339052915866857	-0.5958502329749781
profile_6	ATP50-1	A549	0.08417834929024433	2.012176537419714	0.46833550089759735	0.3737581868654887	0.23111508287338356	0.2841022982667789	-0.08602399844260863	-0.3100077071609468	-0.12290312673227957	-0.4940233463030542	0.10706622062598817	0.021595994490865463	0.5671519988292426	1.0378911913456241	0.3887054714293146	0.1597954540068981	0.21801605681126868	0.3687506900340865	0.7198346971995854	0.18577380952995326	0.37744319752460564	0.5953090226714528	-0.0471940978792622	0.21634214033026164	-0.03649023292910836	0.0037823532818532235	-0.41795374555294196	0.17517752369925782	-0.17471194321734812	0.831711137691408	0.01625501266375609	0.30964423406850317	0.13719277607661765	0.5615652358400047	0.0	1.3584971387592581	0.21775387292322523	0.1500007784870262	0.0	1.3585649923431582	1.0860518314280285	1.485719216009869	-0.03329432700341084	1.9958953615190538	0.014244560002999701	-0.06737991444089816	0.0005988972939700021	1.3072861183750206	-0.15079114490262746	-0.284088815787539	0.1989926859556342	-0.6334941798092474	0.133363352772779	0.44188224664662823	0.42970043343293474	0.3817631286056061	0.5615652358400047	-0.19406064942582962	0.09183132388277487	-0.002778578468974467	0.1834693376386614	0.2596689293910946	0.8907596472720928	-0.022922752212381246	-0.011959708614671717	0.3647884111450085	0.0	0.022992900921455974	-0.2812832310478892	-0.5939273851201943
profile_7	ATP50-2	A549	0.704443352216387	0.2117742571666469	0.9253971664551254	-0.855575692438874	0.7729939218621605	0.6003426686387989	0.6769038911738848	0.6376820261449511	-0.6464889604757917	0.5759723889825646	0.45489819472442866	0.5946250084765156	0.22628678925291623	0.593009712512158	-0.8978555276396962	0.7485283346759986	0.5652224419020204	-0.6526395135327121	0.0	-0.8021603400339651	-0.3054430298668557	-0.3368521185464836	0.8141837430753416	-0.7914401408888105	1.16588950627425	1.0987553400446664	0.7535525226560437	0.28721847669716094	0.9131109492595443	0.1509934149678374	0.365845043505693	0.2542394379155717	0.30275268942768674	0.21917899199556737	0.0	0.24003295752098514	0.0	0.0	0.0	0.3392890576789602	-0.25232010899810153	-0.25772396166794026	1.0549615587342993	-0.015987826428240606	0.41679441664050526	0.7405018874878186	0.7876694793752981	1.3177559169692856	0.7596906170988309	0.6790756645931448	0.08127491570640566	-0.9203338713605603	-0.98941489707309	-0.9348520355244495	0.07696974715875599	0.03860275309134802	0.21917899199556737	1.2943720135088874	-1.626532063206503	-1.728061034763885	-1.4877794042371435	0.0	-0.11907503923641488	-0.11030542983244862	-0.10421875960843352	0.0	0.0	0.11031753287104801	0.12139799328283316	-0.42403714170992646
profile_8	AURKB-2	A549	-0.01430366729380634	0.7690768767707825	0.918193024368136	0.2762218832606245	-0.4039411817452011	-0.2416147100468711	0.04062868434326643	-0.21634330772250315	-0.8691654414871233	-1.2021043896862513	-0.15358853931773292	-0.03780650169240182	0.5125676648735138	0.3250905445574793	0.1596553898031636	-0.48027365678287465	-0.30858274396802304	1.255617573806301	0.0	-0.684326157935278	-0.709976230449625	-0.41197497207710954	-0.15635984930224167	-0.2981607517335575	-0.9175199787371708	-0.7639795087800513	-1.2125252033181502	0.06996018190495254	0.3956252358030832	0.06016080180588379	0.3500915257785636	0.36091656030836217	-0.2888480527307531	-2.2438800204686933	0.0	1.034791375313405	0.19925442890268064	0.1762044920026853	0.0	0.3772567250664275	-0.21038670717856467	-0.1401178500020668	-0.23467618067550797	0.6790833631386699	-0.45399221902330056	-0.49513642215253706	0.05506396190926273	2.052657794534755	0.11784945714084577	0.16652051668740964	0.09089662263877012	-0.010297268879963212	0.5424516009603234	0.6542069304922087	0.06549847437444536	0.09266388297894995	-2.2438800204686933	-0.28074635561657685	0.18708601544232806	0.06680274410947908	0.3994890378016384	0.16297633743362583	1.2050414288306115	-0.15016399194787827	-0.15841101728285142	0.1467931562752529	0.1335851476208731	0.15014459386295398	0.13447505385572908	-0.18273366389120815
profile_9	BCL2-1	A549	0.4399697284482358	0.5968510363655491	-0.005529513099156447	0.41896186072537034	0.5800561230493232	0.6926410499924569	-0.3658818653648111	-0.09407171933044345	0.06517078588838121	-0.0027531506803324945	-0.328983686644983	0.4565256087987428	0.25904867583475805	0.5712729753101796	0.44372649007994025	0.61536570556454	0.7321730316106498	0.1721077119639588	0.0	0.28773084203993105	0.6046392865726794	0.7415014006550613	0.21941079744015074	0.48761209053055654	0.3291758073789536	0.41784639628163645	-0.2134122298506031	-0.23546769383276203	1.0388298464702646	-0.022009492645696516	0.8378502134386558	0.9857233099134699	-0.3343550085271617	0.3405940635011612	0.0	0.5695261607850046	0.2471637139066794	0.20535579135591864	0.0	0.7109302977440826	0.8901108373404583	1.1547732560848054	0.7257868451970517	0.5624841684919157	0.3230042823708139	0.406441948321812	-0.009012052448423388	0.07746148547228002	-0.04212556805263876	-0.05408398397370684	0.47845739473804827	0.25406262697828397	0.39052906886194366	0.4109410097375398	0.8569122663550415	0.920863619585997	0.3405940635011612	-0.12744606211802095	0.003136960673462419	-0.015565552942582717	-0.13753237550803876	0.10460913057809947	0.18894437231132477	-0.05915789623079186	-0.051204302879276874	0.14695712199502886	0.0	0.05920714979519611	0.05489213136074221	0.24977554607647756
